"ingredient code","Ingredient description","Nutrient code","Nutrient value","Nutrient value source","FDC ID","Derivation code","SR AddMod year","Foundation year acquired","Start date","End date"
"16043","Beans, pinto, mature seeds, cooked, boiled, without salt","418","0","SR Legacy","175200","","2006","0","2017-01-01","2018-12-31"
"16043","Beans, pinto, mature seeds, cooked, boiled, without salt","421","35.3","SR Legacy","175200","","2006","0","2017-01-01","2018-12-31"
"16043","Beans, pinto, mature seeds, cooked, boiled, without salt","430","3.5","SR Legacy","175200","JO","2004","0","2017-01-01","2018-12-31"
"16043","Beans, pinto, mature seeds, cooked, boiled, without salt","431","0","SR Legacy","175200","Z","2001","0","2017-01-01","2018-12-31"
"16043","Beans, pinto, mature seeds, cooked, boiled, without salt","432","172","SR Legacy","175200","","2006","0","2017-01-01","2018-12-31"
"16043","Beans, pinto, mature seeds, cooked, boiled, without salt","435","172","SR Legacy","175200","NC","2006","0","2017-01-01","2018-12-31"
"16043","Beans, pinto, mature seeds, cooked, boiled, without salt","573","0","SR Legacy","175200","Z","2004","0","2017-01-01","2018-12-31"
"16043","Beans, pinto, mature seeds, cooked, boiled, without salt","578","0","SR Legacy","175200","Z","2004","0","2017-01-01","2018-12-31"
"16043","Beans, pinto, mature seeds, cooked, boiled, without salt","601","0","SR Legacy","175200","","2006","0","2017-01-01","2018-12-31"
"16043","Beans, pinto, mature seeds, cooked, boiled, without salt","606","0.136","SR Legacy","175200","NC","2006","0","2017-01-01","2018-12-31"
"16043","Beans, pinto, mature seeds, cooked, boiled, without salt","607","0","SR Legacy","175200","","2006","0","2017-01-01","2018-12-31"
"16043","Beans, pinto, mature seeds, cooked, boiled, without salt","608","0","SR Legacy","175200","","2006","0","2017-01-01","2018-12-31"
"16043","Beans, pinto, mature seeds, cooked, boiled, without salt","609","0","SR Legacy","175200","","2006","0","2017-01-01","2018-12-31"
"16043","Beans, pinto, mature seeds, cooked, boiled, without salt","610","0","SR Legacy","175200","","2006","0","2017-01-01","2018-12-31"
"16043","Beans, pinto, mature seeds, cooked, boiled, without salt","611","0","SR Legacy","175200","","2006","0","2017-01-01","2018-12-31"
"16043","Beans, pinto, mature seeds, cooked, boiled, without salt","612","0","SR Legacy","175200","","2006","0","2017-01-01","2018-12-31"
"16043","Beans, pinto, mature seeds, cooked, boiled, without salt","613","0.133","SR Legacy","175200","","2006","0","2017-01-01","2018-12-31"
"16043","Beans, pinto, mature seeds, cooked, boiled, without salt","614","0.003","SR Legacy","175200","","2006","0","2017-01-01","2018-12-31"
"16043","Beans, pinto, mature seeds, cooked, boiled, without salt","617","0.133","SR Legacy","175200","","2006","0","2017-01-01","2018-12-31"
"16043","Beans, pinto, mature seeds, cooked, boiled, without salt","618","0.098","SR Legacy","175200","","2006","0","2017-01-01","2018-12-31"
"16043","Beans, pinto, mature seeds, cooked, boiled, without salt","619","0.137","SR Legacy","175200","","2006","0","2017-01-01","2018-12-31"
"16043","Beans, pinto, mature seeds, cooked, boiled, without salt","620","0","SR Legacy","175200","","2006","0","2017-01-01","2018-12-31"
"16043","Beans, pinto, mature seeds, cooked, boiled, without salt","621","0","SR Legacy","175200","","2006","0","2017-01-01","2018-12-31"
"16043","Beans, pinto, mature seeds, cooked, boiled, without salt","626","0","SR Legacy","175200","","2006","0","2017-01-01","2018-12-31"
"16043","Beans, pinto, mature seeds, cooked, boiled, without salt","627","0","SR Legacy","175200","","2006","0","2017-01-01","2018-12-31"
"16043","Beans, pinto, mature seeds, cooked, boiled, without salt","628","0","SR Legacy","175200","","2006","0","2017-01-01","2018-12-31"
"16043","Beans, pinto, mature seeds, cooked, boiled, without salt","629","0","SR Legacy","175200","","2006","0","2017-01-01","2018-12-31"
"16043","Beans, pinto, mature seeds, cooked, boiled, without salt","630","0","SR Legacy","175200","","2006","0","2017-01-01","2018-12-31"
"16043","Beans, pinto, mature seeds, cooked, boiled, without salt","631","0","SR Legacy","175200","","2006","0","2017-01-01","2018-12-31"
"16043","Beans, pinto, mature seeds, cooked, boiled, without salt","645","0.133","SR Legacy","175200","NC","2006","0","2017-01-01","2018-12-31"
"16043","Beans, pinto, mature seeds, cooked, boiled, without salt","646","0.235","SR Legacy","175200","NC","2006","0","2017-01-01","2018-12-31"
"16347","Beans, pinto, mature seeds, canned, solids and liquids, low sodium","203","4.6","SR Legacy","175247","JO","2013","0","2017-01-01","2018-12-31"
"16347","Beans, pinto, mature seeds, canned, solids and liquids, low sodium","204","0.56","SR Legacy","175247","JA","2013","0","2017-01-01","2018-12-31"
"16347","Beans, pinto, mature seeds, canned, solids and liquids, low sodium","205","15.18","SR Legacy","175247","NC","2013","0","2017-01-01","2018-12-31"
"16347","Beans, pinto, mature seeds, canned, solids and liquids, low sodium","208","82","SR Legacy","175247","NC","2013","0","2017-01-01","2018-12-31"
"16347","Beans, pinto, mature seeds, canned, solids and liquids, low sodium","221","0","SR Legacy","175247","Z","2013","0","2017-01-01","2018-12-31"
"16347","Beans, pinto, mature seeds, canned, solids and liquids, low sodium","255","78.19","SR Legacy","175247","JA","2013","0","2017-01-01","2018-12-31"
"16347","Beans, pinto, mature seeds, canned, solids and liquids, low sodium","262","0","SR Legacy","175247","Z","2013","0","2017-01-01","2018-12-31"
"16347","Beans, pinto, mature seeds, canned, solids and liquids, low sodium","263","0","SR Legacy","175247","Z","2013","0","2017-01-01","2018-12-31"
"16347","Beans, pinto, mature seeds, canned, solids and liquids, low sodium","269","1.02","SR Legacy","175247","","2013","0","2017-01-01","2018-12-31"
"16347","Beans, pinto, mature seeds, canned, solids and liquids, low sodium","291","4.6","SR Legacy","175247","","2013","0","2017-01-01","2018-12-31"
"16347","Beans, pinto, mature seeds, canned, solids and liquids, low sodium","301","47","SR Legacy","175247","JA","2013","0","2017-01-01","2018-12-31"
"16347","Beans, pinto, mature seeds, canned, solids and liquids, low sodium","303","1.47","SR Legacy","175247","JA","2013","0","2017-01-01","2018-12-31"
"16347","Beans, pinto, mature seeds, canned, solids and liquids, low sodium","304","33","SR Legacy","175247","A","2013","0","2017-01-01","2018-12-31"
"16347","Beans, pinto, mature seeds, canned, solids and liquids, low sodium","305","92","SR Legacy","175247","A","2013","0","2017-01-01","2018-12-31"
"16347","Beans, pinto, mature seeds, canned, solids and liquids, low sodium","306","276","SR Legacy","175247","JA","2013","0","2017-01-01","2018-12-31"
"16347","Beans, pinto, mature seeds, canned, solids and liquids, low sodium","307","146","SR Legacy","175247","LC","2013","0","2017-01-01","2018-12-31"
"16347","Beans, pinto, mature seeds, canned, solids and liquids, low sodium","309","0.56","SR Legacy","175247","A","2013","0","2017-01-01","2018-12-31"
"16347","Beans, pinto, mature seeds, canned, solids and liquids, low sodium","312","0.162","SR Legacy","175247","A","2013","0","2017-01-01","2018-12-31"
"16347","Beans, pinto, mature seeds, canned, solids and liquids, low sodium","317","3.7","SR Legacy","175247","BFSN","2013","0","2017-01-01","2018-12-31"
"16347","Beans, pinto, mature seeds, canned, solids and liquids, low sodium","319","0","SR Legacy","175247","Z","2013","0","2017-01-01","2018-12-31"
"16347","Beans, pinto, mature seeds, canned, solids and liquids, low sodium","320","0","SR Legacy","175247","NC","2013","0","2017-01-01","2018-12-31"
"16347","Beans, pinto, mature seeds, canned, solids and liquids, low sodium","321","0","SR Legacy","175247","BFSN","2013","0","2017-01-01","2018-12-31"
"16347","Beans, pinto, mature seeds, canned, solids and liquids, low sodium","322","0","SR Legacy","175247","BFSN","2013","0","2017-01-01","2018-12-31"
"16347","Beans, pinto, mature seeds, canned, solids and liquids, low sodium","323","0.55","SR Legacy","175247","BFSN","2013","0","2017-01-01","2018-12-31"
"16347","Beans, pinto, mature seeds, canned, solids and liquids, low sodium","328","0","SR Legacy","175247","Z","2013","0","2017-01-01","2018-12-31"
"16347","Beans, pinto, mature seeds, canned, solids and liquids, low sodium","334","0","SR Legacy","175247","BFSN","2013","0","2017-01-01","2018-12-31"
"16347","Beans, pinto, mature seeds, canned, solids and liquids, low sodium","337","0","SR Legacy","175247","Z","2013","0","2017-01-01","2018-12-31"
"16347","Beans, pinto, mature seeds, canned, solids and liquids, low sodium","338","0","SR Legacy","175247","Z","2013","0","2017-01-01","2018-12-31"
"16347","Beans, pinto, mature seeds, canned, solids and liquids, low sodium","401","0.7","SR Legacy","175247","JA","2013","0","2017-01-01","2018-12-31"
"16347","Beans, pinto, mature seeds, canned, solids and liquids, low sodium","404","0.052","SR Legacy","175247","A","2013","0","2017-01-01","2018-12-31"
"16347","Beans, pinto, mature seeds, canned, solids and liquids, low sodium","405","0.016","SR Legacy","175247","A","2013","0","2017-01-01","2018-12-31"
"16347","Beans, pinto, mature seeds, canned, solids and liquids, low sodium","406","0.268","SR Legacy","175247","A","2013","0","2017-01-01","2018-12-31"
"16347","Beans, pinto, mature seeds, canned, solids and liquids, low sodium","415","0.135","SR Legacy","175247","BFSN","2013","0","2017-01-01","2018-12-31"
"16347","Beans, pinto, mature seeds, canned, solids and liquids, low sodium","417","24","SR Legacy","175247","A","2013","0","2017-01-01","2018-12-31"
"16347","Beans, pinto, mature seeds, canned, solids and liquids, low sodium","418","0","SR Legacy","175247","Z","2013","0","2017-01-01","2018-12-31"
"16347","Beans, pinto, mature seeds, canned, solids and liquids, low sodium","421","20.8","SR Legacy","175247","BFSN","2013","0","2017-01-01","2018-12-31"
"16347","Beans, pinto, mature seeds, canned, solids and liquids, low sodium","430","2.1","SR Legacy","175247","BFSN","2013","0","2017-01-01","2018-12-31"
"16347","Beans, pinto, mature seeds, canned, solids and liquids, low sodium","431","0","SR Legacy","175247","Z","2013","0","2017-01-01","2018-12-31"
"16347","Beans, pinto, mature seeds, canned, solids and liquids, low sodium","432","24","SR Legacy","175247","A","2013","0","2017-01-01","2018-12-31"
"16347","Beans, pinto, mature seeds, canned, solids and liquids, low sodium","435","24","SR Legacy","175247","NC","2013","0","2017-01-01","2018-12-31"
"16347","Beans, pinto, mature seeds, canned, solids and liquids, low sodium","573","0","SR Legacy","175247","Z","2013","0","2017-01-01","2018-12-31"
"16347","Beans, pinto, mature seeds, canned, solids and liquids, low sodium","578","0","SR Legacy","175247","Z","2013","0","2017-01-01","2018-12-31"
"16347","Beans, pinto, mature seeds, canned, solids and liquids, low sodium","601","0","SR Legacy","175247","Z","2013","0","2017-01-01","2018-12-31"
"16347","Beans, pinto, mature seeds, canned, solids and liquids, low sodium","606","0.116","SR Legacy","175247","NC","2013","0","2017-01-01","2018-12-31"
"16347","Beans, pinto, mature seeds, canned, solids and liquids, low sodium","607","0","SR Legacy","175247","BFFN","2013","0","2017-01-01","2018-12-31"
